,risk,ret
Z0,0.020537704231184954,0.0082706754
Z1,0.019846637722400855,0.00892665844
Z2,0.01978154025841931,0.009544663600000001
Z3,0.0201919200921733,0.010250263200000002
Z4,0.020026625033850137,0.01091974952
Z5,0.01992021540542555,0.011559759360000001
Z6,0.020819691007131047,0.012212059280000001
Z7,0.021043519287027523,0.01283105328
Z8,0.021390982603338684,0.013528150840000003
Z9,0.02173183809893038,0.014178668920000002
Z10,0.022140350359544772,0.014838213160000002
Z11,0.022609818408985367,0.015545559360000002
Z12,0.023018595836286317,0.016179665160000002
Z13,0.023454655259179166,0.01681290672
Z14,0.024015126158794333,0.0175163968
Z15,0.02324295198410236,0.018119924440000004
Z16,0.025053871774337207,0.01881493976
Z17,0.02419573205826097,0.019494941760000002
Z18,0.024839537564724783,0.02014340464
Z19,0.025354618028494494,0.02084508312
Z20,0.025892904835074098,0.021504913120000003
Z21,0.026247527298588594,0.022122496400000004
Z22,0.02693677846777168,0.02281068032
Z23,0.027741084341804664,0.023454197720000004
Z24,0.02816770818053291,0.02415138932
Z25,0.02862006152367033,0.024756804559999998
Z26,0.02934175676323909,0.025480911480000003
Z27,0.030218627674614792,0.026050421160000004
Z28,0.03094684988115767,0.026730490480000008
Z29,0.03171028019769135,0.027400641400000005
Z30,0.032566787970992196,0.028112113320000003
Z31,0.03312096548369408,0.028779112920000006
Z32,0.03372482756317789,0.029408511440000003
Z33,0.03464518937662512,0.030077885000000002
Z34,0.0353847035967588,0.030722043520000002
Z35,0.03625415256326804,0.03139852684
Z36,0.03709134075546595,0.032028822680000006
Z37,0.0379901754475634,0.0326969528
Z38,0.03892225992729054,0.033363266800000006
Z39,0.03983578966785716,0.03403048124
Z40,0.040744886009239235,0.03467287552
Z41,0.04173575793845324,0.03535488012
Z42,0.04272117647348738,0.036023289560000005
Z43,0.04364992318518753,0.036647676000000004
Z44,0.04466847243230203,0.03733607052000001
Z45,0.04570534938479666,0.03802558828000001
Z46,0.046751504726998426,0.03868802224
Z47,0.04770158620428534,0.039280385800000005
Z48,0.04877698696382706,0.03996968528
Z49,0.04985731033491665,0.04064421452
Z50,0.05085361265354217,0.04125142600000001
Z51,0.051967899737347716,0.041945244080000006
Z52,0.05306921687741958,0.0426262868
Z53,0.05418038046107918,0.04328915984000001
Z54,0.055198184788545566,0.04389130068
Z55,0.055953217055269774,0.04461724984
Z56,0.057472324312840654,0.045257401040000006
Z57,0.058134256211741814,0.04591321588000001
Z58,0.059292058586957505,0.04659965340000001
Z59,0.06034082647516382,0.04720790292000001
Z60,0.061512933920074245,0.04791836120000001
Z61,0.06266377771119419,0.04859202336
Z62,0.06372588577772031,0.049196534720000004
Z63,0.0649312067425145,0.049909558240000006
Z64,0.06600852951161862,0.05051941016
Z65,0.06723234683871446,0.05121716288000001
Z66,0.06833525707964955,0.05184502264000001
Z67,0.06955423964954395,0.05253306256
Z68,0.07067398671805268,0.05316220332000001
Z69,0.07191464604437585,0.05385348084000001
Z70,0.07303706199385471,0.05446461376000001
Z71,0.07428174457962679,0.05515265368000001
Z72,0.07544473692584565,0.055789550640000005
Z73,0.07670229481090209,0.0564936418
Z74,0.07785443414481953,0.057108012320000005
Z75,0.07916120674787284,0.057825053880000005
Z76,0.08028232989368468,0.05847341672000001
Z77,0.08156305654159922,0.059107279600000014
Z78,0.08287772727942794,0.05980503232000001
Z79,0.0840990606492162,0.06044840448000001
Z80,0.085312235451667,0.06108725804000001
Z81,0.08665681275730112,0.06178952936000001
Z82,0.0878931568515524,0.062432901520000014
Z83,0.08912489717215402,0.06305698484
Z84,0.09047982711391848,0.0637740264
Z85,0.0916294741772044,0.06442223188000001
Z86,0.09289149260905179,0.06507012264
Z87,0.09434143008739654,0.06575852344000001
Z88,0.09554420737986528,0.06642480332
Z89,0.09681921067587897,0.06707269408000001
Z90,0.09809808223082067,0.06772058484
Z91,0.09938067270974046,0.06836847560000002
Z92,0.10066683996494245,0.06901636636000001
Z93,0.10207385193005086,0.06972315628
Z94,0.10336706801307961,0.07037104704000001
Z95,0.10466346277863345,0.0710189378
Z96,0.10596291955877411,0.07166682856
Z97,0.1073838703614472,0.07237361848000001
Z98,0.108689375910918,0.07302150924
Z99,0.10999761564423416,0.07366940000000001
